"gutenberg_author_id","author","gender","nationality","birthdate","deathdate","link","generation"
4360,"A-No. 1","M","American",1872,1944,"http://en.wikipedia.org/wiki/Leon_Ray_Livingston","Missionary "
31385,"A. L. O. E.","F","British",1821,1893,"http://en.wikipedia.org/wiki/Charlotte_Maria_Tucker",NA
31932,"Aanrud, Hans","M","Norwegian",1863,1953,"http://en.wikipedia.org/wiki/Hans_Aanrud",NA
8269,"Abbadie, Arnauld d'","M","French",1815,1893,"http://en.wikipedia.org/wiki/Arnaud-Michel_d%27Abbadie",NA
8871,"Abbot, Francis Ellingwood","M","American",1836,1903,"http://en.wikipedia.org/wiki/Francis_Ellingwood_Abbot","Gilded "
6179,"Abbot, Willis J. (Willis John)","M","American",1863,1934,"http://en.wikipedia.org/wiki/Willis_J._Abbot","Missionary "
64,"Abbott, Edwin Abbott","M","British",1838,1926,"http://en.wikipedia.org/wiki/Edwin_Abbott_Abbott",NA
5556,"Abbott, Eleanor Hallowell","F","American",1872,1958,"http://en.wikipedia.org/wiki/Eleanor_Hallowell_Abbott","Missionary "
4938,"Abbott, Frank Frost","M","American",1860,1924,"http://en.wikipedia.org/wiki/Frank_Frost_Abbott","Missionary "
1298,"Abbott, John S. C. (John Stevens Cabot)","M","American",1805,1877,"http://en.wikipedia.org/wiki/John_Stevens_Cabot_Abbott","Transcendental "
1604,"Abbott, Lyman","M","American",1835,1922,"http://en.wikipedia.org/wiki/Lyman_Abbott","Gilded "
25289,"Abercrombie, John","M","Scottish",1780,1844,"http://en.wikipedia.org/wiki/John_Abercrombie_%28physician%29",NA
3649,"Abercrombie, Lascelles","M","British",1881,1938,"http://en.wikipedia.org/wiki/Lascelles_Abercrombie",NA
4808,"Aberigh-Mackay, George","M","Indian",1848,1881,"http://en.wikipedia.org/wiki/George_Robert_Aberigh-Mackay",NA
35455,"Abernathy, Robert","M","American",1924,1990,"http://en.wikipedia.org/wiki/Robert_Abernathy","Greatest"
41716,"Abney, William de Wiveleslie, Sir","M","British",1843,1920,"http://en.wikipedia.org/wiki/William_de_Wiveleslie_Abney",NA
5182,"About, Edmond","M","French",1828,1885,"http://en.wikipedia.org/wiki/Edmond_François_Valentin_About",NA
8418,"Accum, Friedrich Christian","M","German",1769,1838,"http://en.wikipedia.org/wiki/Friedrich_Accum",NA
33388,"Ackerman, Forrest J.","M","American",1916,2008,"http://en.wikipedia.org/wiki/Forrest_J_Ackerman","Greatest"
8192,"Acton, John Emerich Edward Dalberg Acton, Baron","M","British",1834,1902,"http://en.wikipedia.org/wiki/John_Dalberg-Acton%2C_1st_Baron_Acton",NA
7572,"Adam, Juliette","F","French",1836,1936,"http://en.wikipedia.org/wiki/Juliette_Adam",NA
773,"Adams, Andy","M","American",1859,1935,"http://en.wikipedia.org/wiki/Andy_Adams_%28writer%29","Progressive "
3239,"Adams, Charles Francis","M","American",1835,1915,"http://en.wikipedia.org/wiki/Charles_Francis_Adams,_Jr.","Gilded "
1958,"Adams, Franklin P. (Franklin Pierce)","M","American",1881,1960,"http://en.wikipedia.org/wiki/Franklin_Pierce_Adams","Missionary "
5942,"Adams, Frederick Upham","M","American",1859,1921,"http://en.wikipedia.org/wiki/Frederick_Upham_Adams","Progressive "
36322,"Adams, H. C. (Henry Cadwallader)","M","British",1817,1899,"http://en.wikipedia.org/wiki/Henry_Cadwallader_Adams",NA
798,"Adams, Henry","M","American",1838,1918,"http://en.wikipedia.org/wiki/Henry_Brooks_Adams","Gilded "
45092,"Adams, John G. B. (John Gregory Bishop)","M","American",1841,1900,"http://en.wikipedia.org/wiki/John_G._B._Adams","Gilded "
460,"Adams, John Quincy","M","American",1767,1848,"http://en.wikipedia.org/wiki/John_Quincy_Adams","Compromise "
25308,"Adams, Joseph Quincy","M","American",1881,1946,"http://en.wikipedia.org/wiki/Joseph_Quincy_Adams","Missionary "
5596,"Adams, Nehemiah","M","American",1806,1878,"http://en.wikipedia.org/wiki/Nehemiah_Adams","Transcendental "
821,"Adams, Samuel","M","American",1722,1803,"http://en.wikipedia.org/wiki/Samuel_Adams","Awakening "
1635,"Adams, Samuel Hopkins","M","American",1871,1958,"http://en.wikipedia.org/wiki/Samuel_Hopkins_Adams","Missionary "
602,"Addams, Jane","F","American",1860,1935,"http://en.wikipedia.org/wiki/Jane_Addams","Missionary "
3917,"Ade, George","M","American",1866,1944,"http://en.wikipedia.org/wiki/George_Ade","Missionary "
25008,"Adler, Felix","M","German",1851,1933,"http://en.wikipedia.org/wiki/Felix_Adler_%28Society_for_Ethical_Culture%29",NA
36284,"Adler, G. J. (George J.)","M","German",1821,1868,"http://en.wikipedia.org/wiki/George_J._Adler",NA
39489,"Ady, Endre","M","Hungarian",1877,1919,"http://en.wikipedia.org/wiki/Endre_Ady",NA
1935,"Agassiz, Louis","M","French",1807,1873,"http://en.wikipedia.org/wiki/Louis_Agassiz",NA
7510,"Agrell, Alfhild","F","Swedish",1849,1923,"http://en.wikipedia.org/wiki/Alfhild_Agrell",NA
4336,"Aguilar, Grace","F","British",1816,1847,"http://en.wikipedia.org/wiki/Grace_Aguilar",NA
5462,"Aguinaldo, Emilio","M","Spanish",1869,1964,"http://en.wikipedia.org/wiki/Emilio_Aguinaldo",NA
6209,"Aicard, Jean","M","French",1848,1921,"http://en.wikipedia.org/wiki/Jean_Aicard",NA
570,"Aiken, Conrad","M","American",1889,1973,"http://en.wikipedia.org/wiki/Conrad_Aiken","Lost "
2157,"Aikin, Lucy","F","British",1781,1864,"http://en.wikipedia.org/wiki/Lucy_Aikin",NA
