"gutenberg_id","title","genre","pubdate","decade","gutenberg_author_id","age"
10004,"The Warriors","Non-fiction",1903,1900,3262,39
10009,"Wild Northern Scenes; Or, Sporting Adventures with the Rifle and the Rod","Non-fiction",1857,1850,3265,48
10012,"The Mountains of California","Non-fiction",1907,1900,180,69
10021,"Tenterhooks","Fiction",1912,1910,3137,50
10023,"There's Pippins and Cheese to Come","Non-fiction",1917,1910,3268,39
10025,"Gaslight Sonatas","Fiction",1918,1910,3177,29
10027,"The Triple Alliance, Its Trials and Triumphs","Fiction",1899,1890,3270,32
10038,"The Magnetic North","Fiction",1904,1900,3274,42
10041,"The Rivet in Grandfather's Neck: A Comedy of Limitations","Fiction",1915,1910,166,36
10044,"The Father of British Canada: a Chronicle of Carleton","Non-fiction",1916,1910,986,52
10046,"Salute to Adventurers","Fiction",1915,1910,285,40
10049,"Old Lady Mary: A Story of the Seen and the Unseen","Fiction",1884,1880,963,56
10057,"The Secret of the Tower","Fiction",1919,1910,63,56
10062,"The Iron Game: A Tale of the War","Fiction",1891,1890,3288,41
10063,"Happiness and Marriage","Non-fiction",1904,1900,3289,39
10064,"Beltane the Smith","Fiction",1915,1910,789,37
10067,"The Mystery of the Boule Cabinet: A Detective Story","Fiction",1912,1910,980,40
10068,"The Power and the Glory","Fiction",1910,1910,3291,47
10070,"Stories of Great Americans for Little Americans","Non-fiction",1895,1890,3293,58
10071,"By-Ways of Bombay","Non-fiction",1912,1910,3294,39
10076,"Lister's Great Adventure","Fiction",1920,1920,1256,54
10083,"The House of the Whispering Pines","Non-fiction",1910,1910,541,64
10084,"Kazan","Fiction",1914,1910,1487,36
10086,"The Minute Boys of the Mohawk Valley","Fiction",1905,1900,1433,57
10087,"Old Lady Number 31","Fiction",1909,1900,3301,36
10089,"Elves and Heroes","Poetry",1909,1900,3303,36
10090,"Peaceless Europe","Non-fiction",1922,1920,3304,54
10094,"A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat","Fiction",1901,1900,980,29
10097,"The Healing of Nations and the Hidden Sources of Their Strife","Non-fiction",1915,1910,657,71
10099,"Towards the Goal","Non-fiction",1917,1910,2629,66
10100,"Byron","Non-fiction",1880,1880,3136,47
10101,"A Little Boy Lost","Fiction",1918,1910,484,77
10102,"The Czar's Spy: The Mystery of a Silent Love","Non-fiction",1905,1900,3141,41
10107,"With British Guns in Italy: A Tribute to Italian Achievement","Non-fiction",1919,1910,3309,32
10109,"The Unspeakable Gentleman","Fiction",1922,1920,3310,29
10110,"The Postmaster's Daughter","Fiction",1916,1910,1627,53
10112,"American Political Ideas Viewed from the Standpoint of Universal History","Non-fiction",1898,1890,525,56
10118,"The Folk-lore of Plants","Non-fiction",1889,1880,7109,41
10122,"Fairies and Fusiliers","Poetry",1917,1910,628,22
10123,"Aunt Jane's Nieces","Fiction",1906,1900,42,50
1013,"The First Men in the Moon","Fiction",1901,1900,30,35
10132,"The Sowers","Fiction",1895,1890,1312,33
10133,"The Vigil of Venus and Other Poems by ""Q""","Poetry",1912,1910,3579,49
1014,"The Lure of the Dim Trails","Fiction",1907,1900,275,36
10145,"Turkey: a Past and a Future","Non-fiction",1917,1910,3329,28
10147,"America's War for Humanity","Non-fiction",1919,1910,465,57
964,"The Merry Adventures of Robin Hood","Non-fiction",1883,1880,491,30
1015,"The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life","Non-fiction",1877,1870,510,54
10159,"England and the War","Non-fiction",1917,1910,185,56
10164,"The Black Creek Stopping-House, and Other Stories","Fiction",1912,1910,1470,39
1018,"The Water-Babies","Fiction",1864,1860,344,45
102,"The Tragedy of Pudd'nhead Wilson","Fiction",1894,1890,53,59
1020,"Sword Blades and Poppy Seed","Poetry",1914,1910,147,40
10201,"The Desert of Wheat","Fiction",1919,1910,212,47
1021,"The Congo, and Other Poems","Poetry",1914,1910,234,35
10212,"Peck's Bad Boy with the Circus","Fiction",1906,1900,3383,66
10213,"The Everlasting Whisper","Fiction",1922,1920,3384,40
365,"The Land of Little Rain","Non-fiction",1903,1900,201,35
10221,"Purple Springs","Fiction",1921,1920,1470,48
2818,"Beautiful Joe: An Autobiography","Fiction",1890,1890,1041,29
1023,"Bleak House","Fiction",1853,1850,37,41
10234,"Old Creole Days: A Story of Creole Life","Fiction",1883,1880,3163,39
10251,"Town Geology","Non-fiction",1873,1870,344,54
10268,"Patty at Home","Fiction",1904,1900,1060,42
1027,"The Lone Star Ranger: A Romance of the Border","Fiction",1914,1910,212,42
10291,"In the Fourth Year: Anticipations of a World Peace","Non-fiction",1918,1910,30,52
103,"Around the World in Eighty Days","Fiction",1873,1870,60,45
10316,"Roy Blakeley's Adventures in Camp","Fiction",1920,1920,2132,44
10319,"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen","Fiction",1911,1910,2034,43
1032,"The Pupil","Fiction",1916,1910,113,73
10320,"Dotty Dimple at Play","Fiction",1869,1860,3465,36
10321,"Dragon's blood","Fiction",1909,1900,3466,32
10325,"The Gospel of the Pentateuch: A Set of Parish Sermons","Non-fiction",1863,1860,344,44
10326,"David: Five Sermons","Non-fiction",1874,1870,344,55
10327,"Alias the Lone Wolf","Fiction",1921,1920,2870,42
1033,"Rose o' the River","Fiction",1905,1900,266,49
10330,"Fruitfulness","Fiction",1900,1900,528,60
10333,"The European Anarchy","Non-fiction",1916,1910,1984,54
10335,"Children's Rights: A Book of Nursery Logic","Non-fiction",1894,1890,266,38
10337,"Lady into Fox","Fiction",1923,1920,3473,31
