"gutenberg_id","tokens"
1,16436
10002,51508
10003,62349
10004,49008
10005,70942
10007,28231
10008,66917
10009,87507
10010,10720
10012,92469
10021,52546
10023,35475
10025,68928
10027,72959
10029,51876
10030,102032
10031,61707
10037,66799
10038,154413
10041,73789
10042,72704
10043,29221
10044,45330
10045,37451
10046,92703
10049,27399
10050,26759
10051,42417
10052,35429
10057,51591
10059,48982
10060,96490
10062,143401
10063,21696
10064,177885
10065,34029
10066,80236
10067,68916
10068,92837
10069,8179
10070,29660
10071,30789
10073,91716
10076,77778
10078,10446
10080,38571
10081,50979
10082,109276
10083,112611
10084,66823
10086,86013
10087,32545
10089,15997
10090,76257
10093,48510
10094,81803
10095,80993
10097,47960
10099,51184
101,104465
10100,65173
10101,39325
10102,92071
10107,74149
10109,50566
10110,66164
10111,104382
10112,32649
10116,117585
10118,78434
10119,50044
10120,93789
10122,8025
10123,51638
10124,28
10125,87867
10126,63449
1013,69129
10130,205027
10132,107836
10133,13344
10134,72637
10136,530074
10139,82508
1014,29427
10140,46350
10141,14077
10142,64588
10145,21946
10146,42812
10147,202763
10148,111453
10149,157189
1015,129291
10150,57794
10159,39193
10163,33695
10164,43422
10165,165698
10166,77265
1017,14453
1018,69689
1019,31410
102,54273
1020,27000
10201,119517
10202,80439
1021,18057
10210,94575
10212,55879
10213,113935
10214,39283
10216,27052
10217,35936
10219,105338
1022,12274
10220,13689
10221,88509
10222,121510
10226,90147
1023,357743
10234,69414
1024,139896
1025,111864
10251,44152
1026,42672
10266,116533
10268,49043
1027,96016
1028,89443
1029,52701
10291,36306
103,63878
1031,12485
10316,27
10318,28788
10319,47799
1032,17590
10320,23795
10321,55077
10322,109594
10323,54659
10324,52729
10325,56699
10326,15188
10327,94761
10328,26646
10329,14615
1033,27979
10330,173469
10333,29251
10335,41560
10337,24599
10338,18394
10339,80576
1034,7293
10340,68290
10342,74159
10343,195334
10345,114851
1035,15263
10350,178350
10351,190108
10352,193172
10355,52458
10356,52953
10357,205169
10358,88509
10359,49726
1036,85191
10360,78072
10361,37480
10362,44272
10363,140985
10364,97578
10365,151077
10366,79374
10367,21236
10368,38469
10369,149430
1037,50593
10370,96571
10371,75065
10372,85864
10373,73818
10374,73198
10375,81903
10376,32546
10377,46422
10378,75432
10379,151056
1038,24547
10380,166234
10381,150304
10386,31512
10387,83683
10389,30296
1039,306831
10390,30372
10391,67231
10392,108506
10393,6599
10394,49282
10395,12015
10397,47786
10398,36644
10399,62621
104,1936
1040,21920
10401,34408
10402,60073
10404,77137
10409,78376
10410,71206
10417,28204
10418,61704
1042,12998
10420,42585
10421,94676
10422,48486
10427,49518
10429,37459
1043,107673
10431,45662
10432,52050
10433,61562
10434,165704
10436,36965
10437,21457
10438,97623
1044,15391
10440,64475
10441,48833
10443,80080
10444,83010
10446,76382
10447,25555
10449,104587
10451,201281
10452,79240
10453,142031
10457,30
10458,25064
10459,39919
1046,39904
10460,26825
10461,138155
10463,34751
10466,27561
10468,43040
10469,330
1047,146282
10473,89639
10474,78527
10476,95857
10477,33
10478,96305
10479,109457
1048,55696
10482,73033
10484,80673
10485,12923
1049,72931
10490,28217
10491,19760
10494,64661
10495,14675
10496,67484
105,83707
1050,15574
10509,154315
1051,81941
10510,1639
10516,54664
10517,7843
10518,22104
10519,80215
10521,103775
10522,82997
1053,61734
10531,32
10532,99681
10533,83501
10534,72286
10537,65738
10538,82583
1054,48949
10540,73259
10541,24633
10542,60628
10545,170671
10546,38733
10548,37445
10549,127113
1055,71354
10551,51782
10552,43586
10554,74687
10555,197905
10556,70770
10557,345
1056,140598
10560,107113
10561,3911
10562,3928
10563,4250
10564,3987
10565,3864
10566,3635
10567,4284
10568,3570
10569,3881
1057,38107
10570,3627
10571,4094
10572,3902
10573,46894
10574,235243
10575,55520
10578,57873
1058,61365
10580,24078
10581,58057
10582,13229
10583,131339
10585,71399
10586,54504
1059,65630
10590,107541
10591,45034
